Products - Southlake,,,,Qty,Amount,,"% Cat
Sales",,,,"% Total
Sales"
J533S06: Girl Nation EP 39,,,,2,$29.80 ,,0.07%,,,,0.01%
J535S: Girl Nation EP 40,,,,2,$29.80 ,,0.05%,,,,0.00%
J535S: Girl Nation EP 40,,,,-1,($9.80),,,,,,
J537S02: Girl Nation EP 5,,,,2,$29.80 ,,0.07%,,,,0.01%
J537S08: Girl Nation EP 26,,,,4,$56.80 ,,0.11%,,,,0.01%
J537S08: Girl Nation EP 26,,,,-1,($10.00),,,,,,
J543S08: Girl Nation EP 44,,,,2,$29.80 ,,0.07%,,,,0.01%
J553S: Girl Nation EP 36,,,,3,$37.30 ,,0.09%,,,,0.01%
J565S05: Girl Nation EP 37,,,,1,$10.00 ,,0.02%,,,,0.00%
J571S03: Girl Nation EP 42,,,,1,$10.00 ,,0.02%,,,,0.00%
J572S05: Girl Nation EP 14,,,,2,$29.80 ,,0.07%,,,,0.01%
J574S08: Girl Nation EP 46,,,,1,$10.00 ,,0.02%,,,,0.00%
J583S06: Girl Nation EP 35,,,,3,$39.80 ,,0.10%,,,,0.01%
J592S: Girl Nation EP 15,,,,1,$19.80 ,,0.05%,,,,0.00%
PSJ526S12: Girl Nation EP 13,,,,2,$39.60 ,,0.09%,,,,0.01%
slgne10: Girl Nation Stud Earrings,,,,30,$295.00 ,,0.71%,,,,0.07%
SLWC123: White Card Earrings,,,,87,"$1,346.00 ",,3.22%,,,,0.32%
SSSolution: Ear Care Solution,,,,19,$132.05 ,,0.32%,,,,0.03%
STUDEX: Studex Earrings 3,,,,1,$31.46 ,,0.08%,,,,0.01%
STUX36: 36-Butterfly Oct Rose Piercing Earrings,,,,1,$34.95 ,,0.08%,,,,0.01%
STUX36N: 38-Glitter Pink Heart Piercing Earrings,,,,1,$34.95 ,,0.08%,,,,0.01%
STUX36OLD: Baby Ruby Crystal Gold Plated Earings,,,,2,$44.00 ,,0.11%,,,,0.01%
STUX37: 37-Glitter Heart Piercing Earrings,,,,3,$104.85 ,,0.25%,,,,0.02%
